MUNICIPIO,LATITUD,LONGITUD,Producción (t),Crecimiento 2022,% Act. primarias municipio,% Act. secundarias municipio,% Act. terciarias municipio,pobl. con pregrado municipio,Valor agregado 2022,% pobl. con pregrado municipio,Peso relativo municipal en el valor agregado departamental (%),Potencial de exportación
Municipio 510,10.442715006436217,100.91541534319816,5380,12.016955744509566,53,62,-15,45,236274,41,12,No
Municipio 489,82.56914667228557,68.51198585832137,4525,40.46822390656337,94,71,-65,38,349705,64,86,Sí
Municipio 968,82.32059458024415,-67.10707210366598,8190,24.566011591090408,90,84,-74,18,184412,31,2,No
Municipio 685,66.65753302407,-122.83268465417393,7656,32.59784101383305,35,68,-3,7,288120,28,76,No
Municipio 640,51.47233040507726,73.97840082798055,5644,10.712623405350929,84,39,-23,61,113861,20,69,No
Municipio 887,-87.94365592559043,62.440832121547885,1595,4.285779508074472,58,41,1,23,340314,28,40,No
Municipio 347,-6.008485402522766,17.20931979413308,2734,1.6722552641687038,71,84,-55,30,355095,18,25,No
Municipio 811,73.91049002517306,-68.94407699226807,8213,1.4498091152556292,41,34,25,77,981932,71,53,No
Municipio 134,74.46070292672917,1.7705292669752168,6618,22.237833272335205,47,36,17,59,285762,45,7,No
Municipio 225,47.161551589770625,109.56574258405794,6121,5.2481452876019405,40,68,-8,16,387311,23,35,No
Municipio 692,-9.02019173546978,124.25421568393227,9358,4.046190273435673,71,22,7,23,812431,83,45,No
Municipio 343,-41.18487613264364,103.30479641782318,499,34.099254379890674,20,99,-19,94,833529,21,66,No
Municipio 183,87.39548870025075,156.33534138542052,3864,26.632260898654465,77,42,-19,20,470886,6,72,No
Municipio 963,39.86364266566943,-11.252712101329706,5379,16.109012984216353,1,54,45,44,224947,62,12,No
Municipio 929,75.73255702270376,-42.31110469200166,6797,35.18406545998802,1,90,9,61,370008,13,0,Sí
Municipio 189,-81.52541803210796,-65.79642149460032,7375,42.02268729924622,8,32,60,10,818462,2,11,Sí
Municipio 234,-81.04519563705358,41.14431970486285,4545,22.324862652823967,79,13,8,46,692703,48,66,No
Municipio 156,-20.06071705112805,-11.203317777614501,9262,29.06633244428145,37,0,63,51,286168,92,99,No
Municipio 681,-34.59668107234764,-131.1276141072841,2129,25.745576107968937,13,91,-4,3,831575,85,82,No
Municipio 749,-80.75498601214319,-110.47612197859596,8265,40.652860880182196,56,24,20,88,316802,8,12,Sí
Municipio 664,-50.689150980711815,19.279201042262315,7018,30.148220203179726,93,16,-9,87,722365,52,23,No
Municipio 132,-24.721656315079287,80.44511730923512,7736,8.51862536648904,90,66,-56,1,345413,31,11,No
Municipio 818,0.8056348618369213,-111.8090813920827,1662,10.931838933077403,60,7,33,29,575595,45,92,No
Municipio 839,-19.97811576619236,131.9419026206055,340,42.30244960724047,42,76,-18,85,109748,99,83,No
Municipio 749,-33.131436883191704,165.45695862730008,4913,36.30381804917465,8,14,78,41,848945,55,79,Sí
Municipio 214,79.77716454588167,-176.18640150432486,4899,14.082417946583393,94,14,-8,63,296772,82,43,No
Municipio 284,44.07852389888768,152.46310271632058,1037,17.144229388446654,18,56,26,95,282391,38,96,No
Municipio 414,-70.51297538789193,64.75884284170778,3346,12.310636567408151,14,30,56,90,676018,45,28,No
Municipio 404,47.739902543318095,-145.73230356457364,7805,0.1488170639640629,82,33,-15,26,316961,29,21,No
Municipio 336,24.531493621347877,74.36889321743698,2280,18.645081904350175,80,52,-32,3,732513,23,81,No
Municipio 199,65.4611800578883,-146.02321699360252,4941,25.144098230918733,5,53,42,2,978343,57,70,No
Municipio 52,-60.29616873420771,11.853598531626545,5369,3.514431972212595,60,38,2,93,257480,68,41,No
Municipio 299,-16.198585760631744,23.014021075799235,4954,6.005335081311175,50,60,-10,64,320449,7,48,No
Municipio 132,8.601815897258746,-115.79266916552982,4637,24.35678066100232,25,77,-2,28,555670,52,74,No
Municipio 414,58.969488751224446,-169.94061442498202,1357,6.231721344527486,8,41,51,32,714142,99,20,No
Municipio 464,-31.349575302726393,-74.19570928452644,1475,45.19503077490395,41,38,21,87,239252,5,89,No
Municipio 304,70.12388370815285,-1.782913005051114,3182,38.493189032960586,78,93,-71,29,397465,48,64,Sí
Municipio 703,-50.79347960214602,29.597713574668973,2162,35.36443582639659,5,74,21,52,209098,78,16,No
Municipio 157,-44.52275247870867,-78.8961871085144,9610,33.24819856066788,34,23,43,15,693025,68,76,No
Municipio 426,-29.906938834455794,-31.93486793678693,416,47.03533236187975,68,2,30,34,709485,67,29,No
Municipio 533,-6.318287147705334,-123.78197001019402,7172,24.963725597297852,11,27,62,86,298719,58,70,No
Municipio 20,31.26487399584863,-97.50372413092458,9604,14.220982867219501,99,38,-37,76,664591,56,77,No
Municipio 411,76.54128078264284,125.54150619966822,3912,42.858681273481295,91,91,-82,8,418751,0,29,Sí
Municipio 693,51.6657754773336,169.1843329181155,8457,15.74253440934958,13,22,65,56,919149,36,98,No
Municipio 316,-81.58687061489717,-4.024276696159006,1148,27.857477327925693,30,26,44,17,221472,73,82,No
Municipio 657,-50.077618262000925,-121.97847976115042,390,13.110699366795814,41,50,9,92,804467,61,59,No
Municipio 208,50.24525703270143,50.67375254624906,7178,34.626800204234556,94,2,4,42,114287,34,8,Sí
Municipio 598,-12.785544732027176,-66.74233921186347,3714,1.4664181445185331,67,89,-56,83,873317,66,25,No
Municipio 36,89.9760570316651,3.6564504316573334,7640,33.578294266728584,83,29,-12,64,256632,72,71,No
Municipio 60,33.840377319786526,88.01043663286362,1440,4.211143372102777,32,1,67,62,189094,77,49,No
Municipio 210,72.56835837331798,-117.94901580271174,4855,4.021208392220349,52,61,-13,59,852793,70,95,No
Municipio 736,74.00572073713627,9.355799961976345,4002,36.263867469325945,89,46,-35,5,903989,75,82,Sí
Municipio 171,-66.86189039118122,-98.84658124081388,8105,26.442752654079182,6,74,20,45,286230,69,97,No
Municipio 773,47.023787122418355,-113.07339940759503,7843,27.0835943224908,88,33,-21,22,451776,90,45,No
Municipio 875,-47.09599381292167,93.56802748557186,2981,29.41486719162662,67,25,8,83,147186,11,25,No
Municipio 598,-77.02551440720056,27.050596989735197,9214,22.760758990570917,29,96,-25,45,932048,50,81,No
Municipio 297,-60.23204538378681,-151.8985392468716,3526,29.418881615129145,20,60,20,98,572965,36,93,No
Municipio 549,49.468397829982194,-149.3750600673548,7411,5.347094968408217,32,41,27,75,109394,85,66,No
Municipio 815,-28.388685205425645,-123.30613589527744,1003,48.323420611267274,0,58,42,48,326985,25,91,No
Municipio 291,-12.36784581178074,-16.982118458730724,804,44.18662992472961,77,14,9,29,177584,60,80,No
Municipio 388,-14.953458084523959,-153.763124924797,1973,27.76851035340212,93,20,-13,99,957026,15,30,No
Municipio 463,64.84641606759013,-136.10802767531598,7194,44.80715791920216,79,26,-5,69,332981,89,5,Sí
Municipio 599,42.71251336383213,-38.13985950843869,5311,47.38758878059045,13,38,49,46,518449,74,3,Sí
Municipio 285,42.30300979554772,-66.20279502652278,6311,1.0981310343684603,32,19,49,48,712283,31,13,No
Municipio 690,10.227049165029001,50.6437416134568,5941,11.308062387543561,85,73,-58,6,977783,34,75,No
Municipio 13,-80.29712744620103,141.06708699703307,3762,2.9307454498508245,72,35,-7,10,718441,27,11,No
Municipio 781,-32.498870063816064,130.45445343883273,2117,13.790423439618094,47,22,31,33,484680,54,36,No
Municipio 602,-80.02972294647297,-68.56675458313057,2450,6.889043580489002,95,17,-12,13,833062,87,4,No
Municipio 230,-65.27825751492355,-136.92194029614143,1267,27.27612099010473,56,69,-25,12,236058,97,60,No
Municipio 69,-42.43506451934854,-164.55307223378207,7577,23.564839182779952,86,53,-39,95,679918,21,99,No
Municipio 661,-52.62542733243877,87.93950356191743,3806,38.49560360693573,50,35,15,91,103145,16,91,Sí
Municipio 152,47.63798786523583,6.086416221347321,5741,39.336739483955824,16,46,38,94,303718,34,33,Sí
Municipio 46,80.75905709968046,-85.45430566968332,6573,37.09089728004145,42,67,-9,12,941608,81,6,Sí
Municipio 46,-37.021491337967916,31.94268786739002,2546,19.10860762198512,56,46,-2,91,821550,8,95,No
Municipio 50,-66.04427249768271,70.01526589852224,3217,20.797961244609763,79,30,-9,58,501170,73,92,No
Municipio 416,-54.50338206725418,-125.1954576213379,6774,29.36614860922094,23,53,24,28,271169,27,80,No
Municipio 454,-60.81789736154937,68.12328132423005,3372,19.585853037979117,64,17,19,10,550955,24,11,No
Municipio 572,-7.1353030204230095,38.23214092263271,7267,22.577099956942664,5,85,10,25,841390,54,88,No
Municipio 694,81.69686863836674,135.12944575779807,4408,40.235652203831975,62,81,-43,16,510841,58,36,Sí
Municipio 493,-63.40473143226526,-108.13533071136571,588,25.38856037228716,36,80,-16,54,678132,78,8,No
Municipio 917,67.80663880200325,-170.0684670020331,1081,19.625261952925023,9,8,83,61,339439,81,87,No
Municipio 907,56.9932421749572,81.91558383384637,2944,21.263540458173196,4,75,21,58,849326,1,29,No
Municipio 360,32.21770514259936,56.813816055876174,6282,0.6432407251165673,70,41,-11,99,205157,47,35,No
