MUNICIPIO,LATITUD,LONGITUD,Producción (t),Crecimiento 2022,% Act. primarias municipio,% Act. secundarias municipio,% Act. terciarias municipio,pobl. con pregrado municipio,Valor agregado 2022,% pobl. con pregrado municipio,Peso relativo municipal en el valor agregado departamental (%),Producto
Municipio 665,-86.71091828285996,-27.76536183042586,4581,4.227173755325275,93,3,4,41,841104,95,1,tomate
Municipio 150,89.44041159713902,-99.30887209773657,7536,3.373892832042941,73,14,13,23,100118,85,4,otros
Municipio 409,-5.4013198769413435,2.1344742064235334,4492,38.23114696118512,95,1,4,67,398548,42,77,papa
Municipio 177,0.6445481828336455,150.45425912009972,7445,13.610923630791039,43,40,17,8,158687,74,72,arroz
Municipio 238,72.61672650987597,-3.854934760151707,9776,39.23343682317583,40,26,34,23,530900,24,7,tomate
Municipio 906,-43.49315686631795,62.30311501611743,6385,44.88545660436725,50,55,-5,93,562857,86,63,caña de azúcar
Municipio 746,-23.78289578679808,37.31461499445504,3953,28.37581275586748,78,46,-24,20,575045,82,20,papa
Municipio 781,26.70754607384079,-141.95640947198845,3438,32.548383874718745,32,47,21,49,479931,8,42,tomate
Municipio 891,53.39377700700328,-127.9251753681628,2035,16.86568572964035,72,28,0,29,497277,51,46,frutas tropicales
Municipio 877,71.59027615054242,-179.31329300237775,2596,36.11643142679921,57,76,-33,90,747734,95,46,papa
Municipio 509,-17.57931647547923,-75.15455744443472,5860,11.188594176444527,27,5,68,40,949099,42,28,caña de azúcar
Municipio 190,-89.14400512921962,-145.40483801810296,8455,38.56229988227636,16,0,84,55,287204,39,30,yuca
Municipio 522,-23.49491919099482,86.46423690888639,5802,46.107186574246434,77,28,-5,23,612104,34,75,yuca
Municipio 696,-67.57609312527923,75.53486116178794,3910,43.744579096193185,3,94,3,69,656208,72,39,papa
Municipio 156,54.97677369118526,10.639124435786755,3666,1.2506316118621907,0,67,33,71,874992,45,92,café
Municipio 308,15.01011624627894,104.35484610964056,2865,47.86118947115061,35,66,-1,29,737904,69,68,tomate
Municipio 588,-87.20910334131413,-144.2710969566389,2494,6.1740965106564625,67,17,16,80,107520,45,39,arroz
Municipio 510,56.81743773407047,-151.12274621895224,5668,47.67352512685058,96,83,-79,43,173285,97,46,frutas tropicales
Municipio 29,32.60094881695798,37.28070869582268,360,21.14759736447883,88,22,-10,34,935876,88,8,caña de azúcar
Municipio 564,-17.75755042768901,-43.6890327894684,7693,20.393906930249134,73,9,18,5,818215,79,30,caña de azúcar
Municipio 110,-74.10636381924678,68.62159384533689,3662,18.887423732879157,20,32,48,26,811097,23,26,otros
Municipio 31,38.226316538077555,5.9615906873155495,3952,42.84453659813768,73,57,-30,8,232624,63,73,tomate
Municipio 967,2.924911319299653,11.214279124564229,464,16.923609381608745,16,43,41,19,451159,93,76,arroz
Municipio 407,79.22145903902506,-113.71666831096414,4053,39.10479842861645,71,88,-59,19,779562,48,32,otros
Municipio 364,-52.5512272140806,30.92497853369869,2732,39.72231047343305,31,11,58,94,480213,44,6,café
Municipio 346,-84.55029899289829,132.49378959289146,2121,6.311231630833314,43,14,43,74,654085,4,28,papa
Municipio 193,-0.5136249142943967,-67.29969872245105,6894,34.89517584864416,36,58,6,50,467100,78,34,otros
Municipio 175,5.72539178971553,6.236042494801609,3447,31.9177615342839,17,76,7,2,970435,36,83,tomate
Municipio 464,63.08981054249483,-155.59763587535178,9981,32.47125609611604,70,38,-8,64,791899,35,64,café
